symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
HSCL,3102.0,74.1,40.07,10.21,0.2,24.15,19.61,27.36,1.0
HIMATSEIDE,1370.0,139.1,146.76,5.7,3.59,13.17,17.26,19.52,5.0
HINDALCO,42404.0,188.8,216.2,51.17,0.63,5.11,2.49,10.11,1.0
HAL,23737.0,709.85,324.43,9.95,2.79,29.91,22.45,5.88,10.0
HINDCOPPER,2988.0,32.3,17.63,22.73,1.61,11.85,9.2,19.22,5.0
HINDPETRO,47840.0,313.95,184.9,9.34,5.07,20.03,23.1,15.7,10.0
HINDUNILVR,455444.0,2104.0,36.23,67.86,1.04,119.0,84.04,7.16,1.0
HINDZINC,89387.0,211.55,79.53,11.46,9.45,28.32,22.1,14.2,2.0
HONAUT,25220.0,28530.0,1977.0,66.16,0.16,35.44,22.66,13.22,10.0
HUDCO,6656.0,33.25,54.73,5.63,2.48,8.43,11.29,19.52,10.0
HDFC,360836.0,2090.0,448.0,33.9,1.0,9.9,13.51,11.94,2.0
ICICIBANK,284624.0,440.6,167.75,52.8,0.23,4.52,3.15,6.33,2.0
ICICIGI,56574.0,1245.0,119.7,52.88,0.48,22.96,16.12,20.17,10.0
ICICIPRULI,67858.0,472.6,50.85,59.32,0.67,19.32,16.96,25.76,10.0
ISEC,9113.0,282.9,32.11,19.43,3.32,53.06,52.02,,5.0
ICRA,2491.0,2581.0,568.06,28.27,1.16,23.39,17.07,5.61,10.0
IDBI,23132.0,29.9,48.62,,0.0,-2.05,-51.15,-7.67,10.0
IDFCFIRSTB,19107.0,39.95,37.97,,1.88,3.9,-11.64,48.5,10.0
IDFC,5124.0,32.1,61.26,34.0,0.0,1.11,1.31,-11.24,10.0
IFBIND,2681.0,661.7,153.17,47.26,0.0,13.91,10.26,19.17,10.0
IFCI,1102.0,6.5,24.91,,0.0,3.87,-14.2,-17.48,10.0
IIFL,3524.0,110.4,33.52,22.7,4.53,11.52,11.53,-10.7,2.0
IRB,2335.0,66.45,74.91,7.46,3.76,9.11,12.79,6.94,10.0
IRCON,3461.0,367.95,419.93,8.18,5.86,8.82,11.31,22.22,10.0
ITC,302063.0,245.85,47.17,23.56,2.33,34.0,22.91,7.13,1.0
ITDCEM,627.88,36.55,32.13,14.57,1.09,18.38,10.25,-3.93,1.0
ITI,7275.0,81.1,24.12,255.61,0.0,13.61,18.08,36.95,10.0
INDIACEM,2475.0,79.85,169.08,20.52,1.0,4.79,1.17,9.99,10.0
ITDC,3015.0,351.55,41.46,121.43,0.6,11.2,7.89,-7.15,10.0
IBULHSGFIN,8464.0,197.95,403.65,2.53,20.2,12.18,22.73,20.35,2.0
IBULISL,659.67,73.85,183.28,34.02,0.0,0.34,0.38,-86.91,2.0
IBREALEST,2014.0,44.3,143.88,25.86,0.0,4.57,1.49,88.86,2.0
IBVENTURES,5236.0,85.6,94.9,37.84,1.08,4.21,2.84,46.01,2.0
INDIANB,5776.0,117.5,394.45,12.08,0.0,4.79,1.71,5.7,10.0
IEX,4057.0,135.45,12.36,24.93,0.09,71.1,50.47,13.64,1.0
INDHOTEL,18059.0,151.85,37.7,55.19,0.33,10.0,6.57,7.03,1.0
IOC,137823.0,146.4,115.42,10.09,6.16,16.23,15.44,14.98,10.0
IOB,8593.0,9.4,17.9,,0.0,2.64,-25.23,-9.16,10.0
INDOSTAR,1683.0,182.4,328.38,6.68,1.1,10.13,9.98,,10.0
IGL,25974.0,371.05,59.0,31.33,0.65,29.58,19.36,16.08,2.0
INDUSINDBK,92867.0,1340.0,384.93,22.32,0.49,7.62,13.08,23.31,10.0
INFIBEAM,2734.0,41.2,39.17,58.19,0.0,1.95,1.14,133.0,1.0
NAUKRI,27958.0,2286.0,189.99,90.77,0.26,19.72,13.76,15.24,10.0
INFY,328520.0,769.5,136.97,22.32,2.85,31.3,23.09,10.64,5.0
INOXLEISUR,3492.0,339.5,93.71,27.49,0.0,22.75,17.04,14.01,10.0
INTELLECT,2479.0,187.55,70.36,31.74,0.0,17.0,16.79,19.47,5.0
INDIGO,66790.0,1736.0,180.55,50.26,0.29,0.32,-3.26,20.86,10.0
IPCALAB,11538.0,913.2,248.25,22.13,0.33,16.53,15.39,8.75,2.0
JBCHEPHARM,2883.0,359.25,185.02,14.47,1.39,17.08,11.57,9.49,2.0
JKCEMENT,8246.0,1067.0,374.39,19.21,0.94,14.35,13.0,6.49,10.0
JKLAKSHMI,3371.0,286.45,129.4,26.97,0.26,7.84,3.73,14.01,5.0
JKPAPER,2157.0,121.0,114.52,4.51,2.89,24.77,23.31,10.14,10.0
JKTYRE,1651.0,67.05,81.03,11.14,2.24,10.91,9.57,9.33,2.0
JMFINANCIL,6106.0,72.6,29.51,59.38,1.38,5.44,4.48,19.65,1.0
