symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
SUNDRMFAST,9781.0,465.55,90.77,23.19,1.1,27.15,25.03,15.46,1.0
SUNTECK,6084.0,415.75,120.77,41.72,0.36,10.72,10.95,39.85,1.0
SUPRAJIT,2526.0,180.6,50.12,22.21,0.86,22.92,17.57,22.5,1.0
SUPREMEIND,15488.0,1219.0,156.87,40.49,1.07,29.87,21.63,23.76,2.0
SUVEN,3370.0,264.8,78.06,20.01,0.57,21.18,14.61,9.93,1.0
SUZLON,1330.0,2.5,-13.2,,0.0,-5.41,,-24.64,2.0
SWANENERGY,2543.0,104.1,39.35,,0.0,3.65,-0.8,39.42,1.0
SYMPHONY,8730.0,1248.0,95.63,63.77,0.36,25.89,18.55,8.09,2.0
SYNDIBANK,6521.0,24.3,61.74,,0.0,3.87,-16.42,-2.16,10.0
SYNGENE,13116.0,327.9,49.18,38.97,0.08,16.72,17.75,18.15,10.0
TCIEXP,2694.0,702.35,69.66,35.86,0.43,44.23,30.83,,2.0
TCNSBRANDS,4289.0,697.9,100.64,32.63,0.0,31.72,25.73,33.23,2.0
TTKPRESTIG,8220.0,5930.0,832.29,43.06,0.42,26.8,17.63,9.77,10.0
TVTODAY,1827.0,306.2,140.19,12.74,0.73,26.65,17.06,9.43,5.0
TV18BRDCST,3489.0,20.35,16.06,26.56,0.0,1.91,3.12,19.9,2.0
TVSMOTOR,20895.0,439.8,70.46,31.38,0.8,23.67,21.56,17.92,1.0
TAKE,1586.0,107.2,51.54,,0.93,2.38,2.1,-2.33,1.0
TATACHEM,15442.0,606.15,463.03,16.9,2.06,9.0,6.73,-20.82,10.0
TCS,762091.0,2031.0,228.84,23.33,1.48,52.62,38.77,12.78,1.0
TATAELXSI,4410.0,708.1,151.38,16.44,1.91,51.29,34.23,14.09,10.0
TATAGLOBAL,17637.0,279.45,70.41,47.07,0.89,12.71,8.94,4.72,1.0
TATAINVEST,4092.0,808.75,1546.0,27.97,2.47,2.01,1.85,-10.31,10.0
TATAMTRDVR,3171.0,62.35,,,,,,,2.0
TATAMOTORS,43438.0,139.5,71.17,50.27,0.0,10.89,10.08,17.33,2.0
TATAPOWER,16188.0,59.85,58.01,17.01,2.17,6.01,2.84,-2.99,1.0
TATASTEEL,40119.0,356.1,645.56,4.15,3.71,19.69,15.62,22.65,10.0
TEAMLEASE,5412.0,3166.0,309.37,56.1,0.0,20.67,20.17,18.16,10.0
TECHM,69887.0,724.35,214.0,16.28,1.97,26.65,21.48,9.08,5.0
TECHNOE,2914.0,264.95,127.67,17.52,0.0,19.55,13.82,148.0,2.0
NIACL,22512.0,136.6,96.75,101.08,1.1,-13.76,-13.82,12.32,5.0
RAMCOCEM,17522.0,743.8,189.33,30.59,0.4,13.64,11.87,12.93,1.0
THERMAX,13216.0,1109.0,229.6,43.47,0.63,16.07,11.7,-6.54,2.0
THYROCARE,2648.0,501.55,86.32,26.49,3.99,31.25,20.21,16.34,10.0
TIMETECHNO,1268.0,56.05,60.14,10.03,1.61,11.89,9.66,16.4,1.0
TIMKEN,5972.0,793.9,178.25,35.4,0.13,21.67,14.55,16.88,10.0
TITAN,113375.0,1277.0,69.63,78.82,0.39,26.8,25.06,19.83,1.0
TORNTPHARM,28674.0,1695.0,296.36,33.89,1.0,13.09,14.93,1.94,5.0
TORNTPOWER,13736.0,285.8,185.94,14.55,1.75,12.07,10.43,3.73,10.0
TRENT,17794.0,500.55,47.73,120.71,0.24,11.55,7.82,20.38,1.0
TRIDENT,2895.0,56.8,57.52,6.63,5.28,12.05,12.92,12.51,10.0
TIINDIA,6782.0,361.15,75.88,24.71,0.69,22.0,18.78,,1.0
UCOBANK,8651.0,11.75,18.74,,0.0,2.69,-36.67,-8.26,10.0
UFLEX,1458.0,201.95,297.05,28.68,0.99,6.83,2.47,3.55,10.0
UPL,45226.0,591.95,104.34,156.49,0.9,6.73,4.65,13.13,2.0
UJJIVAN,3741.0,308.0,147.18,162.81,0.44,1.34,1.21,20.29,10.0
ULTRACEMCO,117014.0,4260.0,1018.0,38.29,0.27,10.89,8.83,14.62,10.0
UNIONBANK,17867.0,52.2,77.38,,0.0,4.13,-11.44,1.9,10.0
UBL,34970.0,1323.0,120.34,69.19,0.19,28.45,19.17,10.18,1.0
MCDOWELL-N,46174.0,635.45,43.1,57.62,0.0,20.95,23.18,2.88,2.0
VGUARD,9980.0,233.35,21.04,54.37,0.34,25.98,20.07,11.63,1.0
VMART,3699.0,2038.0,225.45,66.41,0.08,28.87,17.54,21.0,10.0
VIPIND,6538.0,462.65,38.68,48.06,0.69,36.26,25.29,14.41,2.0
VRLLOG,2402.0,265.85,71.5,25.23,2.07,20.83,14.87,6.99,10.0
VSTIND,5871.0,3802.0,430.07,24.33,2.5,56.27,36.4,7.56,10.0
WABAG,1037.0,189.55,167.62,9.41,0.0,13.0,11.17,4.92,2.0
VAIBHAVGBL,2652.0,815.05,173.33,85.94,1.23,6.84,5.64,9.95,10.0
VAKRANGEE,3025.0,28.55,24.42,228.79,0.88,1.56,0.75,-22.94,1.0
VTL,5298.0,921.4,911.13,8.11,1.9,14.19,12.86,4.62,10.0
VARROC,6362.0,471.95,83.73,56.58,0.85,14.15,11.17,18.18,1.0
VBL,18147.0,628.6,105.8,40.57,0.0,13.82,13.47,10.48,10.0
VEDL,55126.0,148.3,209.51,12.31,12.72,6.97,6.04,4.26,1.0
VENKEYS,2355.0,1672.0,625.73,14.28,0.48,27.79,21.77,12.68,10.0
VINATIORGA,10817.0,2105.0,204.56,35.98,0.33,45.83,30.6,20.65,2.0
IDEA,18103.0,6.3,22.1,,0.0,-7.26,-34.01,0.97,10.0
VOLTAS,22384.0,676.5,113.13,45.34,0.59,17.0,12.32,9.14,1.0
WABCOINDIA,11656.0,6148.0,938.81,44.46,0.15,23.05,15.83,15.92,5.0
WELCORP,3467.0,130.7,61.72,,0.38,3.74,-3.74,3.12,5.0
WELSPUNIND,5029.0,50.05,24.78,12.46,0.6,8.89,11.69,3.37,1.0
WHIRLPOOL,27582.0,2174.0,168.89,63.54,0.23,32.24,20.65,16.2,10.0
WIPRO,149602.0,247.85,71.67,17.93,0.4,20.27,16.61,2.51,2.0
WOCKPHARMA,2870.0,259.2,110.77,,0.0,-0.16,-5.94,-1.01,5.0
YESBANK,10469.0,41.05,105.49,18.25,4.42,6.68,6.53,29.84,2.0
ZEEL,25400.0,264.45,74.25,14.0,1.32,35.52,22.69,17.69,1.0
ZENSARTECH,4734.0,210.15,65.29,19.21,1.33,25.02,18.95,3.23,2.0
ZYDUSWELL,9698.0,1682.0,576.65,187.07,0.3,4.02,4.09,8.43,10.0
ECLERX,1531.0,414.05,352.91,8.01,0.25,23.64,17.38,1.01,10.0
