symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
BHARTIARTL,196811.0,383.5,191.66,-1.0,0.51,0.01,-4.42,-6.3,5.0
INFRATEL,48386.0,261.6,84.69,28.31,5.73,20.2,15.08,7.07,10.0
BIOCON,31134.0,259.45,59.3,110.66,0.19,4.82,4.79,7.81,5.0
BIRLACORPN,4514.0,586.1,548.76,22.75,1.28,5.2,2.88,10.62,10.0
BSOFT,1825.0,66.0,42.83,13.18,3.0,13.37,11.86,-7.4,2.0
BLISSGVS,1322.0,128.2,58.51,18.54,0.78,19.16,13.26,9.34,1.0
BLUEDART,5420.0,2284.0,280.14,77.31,0.55,18.0,13.64,7.45,10.0
BLUESTARCO,8018.0,832.5,99.78,54.65,1.2,19.5,14.75,10.66,2.0
BOMDYEING,1597.0,77.3,8.75,1.18,1.94,45.23,298.0,33.95,2.0
BOSCHLTD,41703.0,14140.0,3094.0,27.75,0.74,24.63,16.72,8.11,10.0
BRIGADE,4044.0,197.95,112.92,17.49,0.67,12.37,9.81,4.8,10.0
BRITANNIA,78160.0,3252.0,168.09,68.78,0.46,47.13,30.83,10.68,1.0
CARERATING,1517.0,514.95,186.57,12.38,5.83,35.29,24.05,3.94,10.0
CCL,3028.0,227.65,48.79,16.5,1.54,19.11,20.17,6.11,2.0
CESC,10772.0,812.65,736.51,11.11,2.16,11.11,9.47,4.49,10.0
CGPOWER,946.39,15.1,40.1,11.55,0.0,7.0,1.31,3.26,2.0
CRISIL,9925.0,1373.0,108.05,38.69,2.18,46.65,33.93,7.33,1.0
CADILAHC,24636.0,240.65,87.49,17.97,1.45,16.98,18.28,-2.62,1.0
CANFINHOME,5353.0,402.0,133.84,17.86,0.5,9.67,18.15,16.83,2.0
CANBK,14225.0,188.85,480.29,36.05,0.0,4.71,0.97,2.07,10.0
CAPLIPOINT,3002.0,396.85,57.12,17.99,0.55,55.26,40.36,32.41,2.0
CGCL,3644.0,208.05,77.17,27.16,0.17,11.29,9.91,38.92,2.0
CARBORUNIV,5844.0,308.75,67.47,33.98,0.89,20.29,13.56,11.32,1.0
CASTROLIND,13234.0,133.8,12.21,18.13,3.74,101.0,64.81,5.79,5.0
CEATLTD,3911.0,966.85,680.11,11.72,1.24,14.6,12.19,7.82,10.0
CENTRALBK,7158.0,17.35,45.89,-1.0,0.0,2.4,-30.54,-4.37,10.0
CDSL,2184.0,209.0,51.92,24.71,1.91,20.97,16.14,16.99,10.0
CENTURYPLY,3614.0,162.65,43.62,22.37,0.62,17.81,17.5,11.44,1.0
CERA,3365.0,2587.0,538.34,29.62,0.5,27.16,17.59,13.57,5.0
CHAMBLFERT,6468.0,155.4,77.86,8.1,1.29,11.93,21.46,4.8,10.0
CHOLAHLDNG,8727.0,464.9,56.71,130.92,0.27,6.81,6.38,-75.11,1.0
CHOLAFIN,23651.0,302.5,78.99,19.46,0.43,10.81,21.04,18.59,2.0
CIPLA,35803.0,444.15,195.78,16.33,0.68,15.98,12.09,0.7,2.0
CUB,15849.0,215.55,65.84,22.42,0.23,7.46,15.13,8.56,1.0
COALINDIA,126921.0,205.95,22.71,12.11,6.36,79.28,78.45,72.76,10.0
COCHINSHIP,4331.0,329.25,253.31,8.75,3.95,22.24,14.48,14.18,10.0
COLPAL,41908.0,1541.0,53.19,55.31,1.49,72.97,50.87,4.88,1.0
CONCOR,37258.0,611.5,170.16,31.29,1.4,16.5,12.29,5.14,5.0
COROMANDEL,12239.0,418.35,117.38,17.35,1.55,22.69,23.06,4.8,1.0
CORPBANK,8542.0,14.25,27.63,-1.0,0.0,0.97,-46.2,-6.98,2.0
COX&KINGS,40.61,2.3,173.17,0.27,43.48,8.55,6.0,76.06,5.0
CREDITACC,9180.0,638.3,164.45,26.58,0.0,14.89,16.93,40.25,10.0
CROMPTON,16686.0,266.1,17.52,39.65,0.75,39.0,42.64,35.93,2.0
CUMMINSIND,16169.0,583.3,149.01,23.74,2.91,23.56,17.39,6.32,2.0
CYIENT,4928.0,448.1,202.42,13.45,3.36,25.24,20.51,9.04,5.0
DBCORP,2726.0,155.85,102.98,9.1,6.42,21.96,14.61,6.34,10.0
DCBBANK,5626.0,181.45,100.44,16.7,0.55,7.61,11.0,21.43,10.0
DCMSHRIRAM,6194.0,389.8,223.59,6.87,2.48,28.17,26.65,10.24,2.0
DLF,41796.0,168.85,93.24,55.49,1.06,5.51,3.1,-3.1,2.0
DABUR,82434.0,466.5,22.46,63.08,0.59,34.86,30.84,4.98,1.0
DALBHARAT,15768.0,817.15,392.83,169.54,0.25,1.37,1.17,0.0,2.0
DEEPAKNTR,4335.0,317.85,77.56,19.39,0.63,18.71,14.04,10.29,2.0
DELTACORP,5076.0,187.35,73.47,28.22,0.67,13.52,9.51,25.59,1.0
DEN,2391.0,50.1,55.95,266.25,0.0,-0.8,-4.27,4.93,10.0
DBL,5314.0,388.5,234.29,8.41,0.26,21.85,26.89,31.62,10.0
DISHTV,3066.0,16.65,28.98,9.8,3.0,4.24,6.64,20.91,1.0
DCAL,2505.0,155.2,303.13,46.22,0.13,2.37,1.15,332.0,2.0
DIVISLAB,46138.0,1738.0,262.68,34.59,0.92,27.66,20.32,9.47,2.0
DIXON,3494.0,3085.0,317.94,54.35,0.06,25.88,16.96,26.35,10.0
LALPATHLAB,11827.0,1419.0,111.68,58.32,0.42,33.22,22.15,15.03,10.0
DRREDDY,45272.0,2725.0,763.43,30.25,0.73,11.86,9.89,1.07,5.0
EIDPARRY,2829.0,159.85,96.81,50.9,1.88,7.24,7.4,-10.66,1.0
EIHOTEL,10339.0,180.9,49.95,73.75,0.5,8.59,5.63,2.82,2.0
EDELWEISS,8386.0,89.8,35.89,50.45,1.48,3.45,3.07,-3.32,1.0
EICHERMOT,55332.0,20276.0,2611.0,28.05,0.62,49.88,33.1,16.55,10.0
ELGIEQUIP,4298.0,271.25,41.77,55.79,0.48,17.8,13.37,10.78,1.0
EMAMILTD,15938.0,351.1,45.48,44.87,1.14,19.06,15.15,4.92,1.0
ENDURANCE,14716.0,1046.0,147.87,35.92,0.53,26.31,18.91,13.98,10.0
ENGINERSIN,6869.0,108.7,36.02,16.85,3.68,25.19,16.35,17.39,5.0
EQUITAS,3525.0,103.15,52.72,356.43,0.0,0.78,0.52,36.07,10.0
ERIS,5812.0,422.6,84.06,19.55,0.0,25.87,28.09,13.98,1.0
ESCORTS,7975.0,650.6,246.6,17.95,0.38,24.07,16.65,22.54,10.0
ESSELPACK,3764.0,119.35,21.46,76.6,1.05,13.95,9.56,4.44,2.0
EXIDEIND,15555.0,183.0,70.44,19.92,1.31,20.01,13.55,15.94,1.0
FDC,2751.0,160.9,83.82,15.66,0.0,17.65,12.74,2.89,1.0
FEDERALBNK,16720.0,84.0,66.68,11.03,1.66,6.27,9.76,13.8,2.0
FMGOETZE,3023.0,543.4,131.84,44.61,0.0,18.28,12.01,-0.25,10.0
FINEORG,5951.0,1941.0,165.84,46.0,0.36,40.95,28.14,0.0,5.0
FINCABLES,5589.0,365.45,159.52,16.67,1.23,23.16,14.97,9.25,2.0
FINPIPE,7596.0,612.05,203.74,23.81,1.63,20.74,13.73,2.83,10.0
FSL,3495.0,50.4,32.87,17.43,3.96,10.03,8.93,-4.25,10.0
FORTIS,10437.0,138.25,110.78,15.95,0.0,5.12,1.98,2.39,10.0
FCONSUMER,4707.0,24.5,7.12,58.38,0.0,6.44,6.0,30.74,6.0
FLFL,8226.0,408.7,81.86,57.66,0.33,14.31,10.88,21.41,2.0
FRETAIL,19943.0,396.8,76.64,26.87,0.0,17.73,21.34,47.7,2.0
GAIL,58429.0,129.55,97.76,9.16,2.75,21.78,14.75,13.25,10.0
GEPIL,4783.0,711.5,131.65,32.24,0.84,34.09,13.31,3.61,10.0
GET&D,4990.0,194.9,55.77,37.24,0.92,30.67,16.66,8.5,2.0
GHCL,1960.0,199.6,198.75,4.87,2.5,21.57,20.16,10.01,10.0
GMRINFRA,11529.0,19.1,19.39,-1.0,0.0,1.3,-3.85,-14.74,1.0
GALAXYSURF,5336.0,1505.0,220.71,32.37,0.53,30.28,23.38,14.12,10.0
GARFIBRES,2509.0,1147.0,296.82,20.26,0.44,25.99,20.08,7.26,10.0
GAYAPROJ,2287.0,122.15,71.03,10.63,0.0,15.54,17.19,24.09,2.0
GICRE,49053.0,279.6,302.64,31.41,2.41,3.79,2.43,35.31,5.0
